task_id,package,function_name,level,contract_status,status_reasons,current_status,current_tier,simple_status,simple_tier,expected_artifacts_task_json,artifacts_written_by_solution,artifacts_compared_by_current_eval,artifacts_compared_by_simple_eval,input_files_declared,input_files_read_by_solution,input_files_previewed_current,functions_called_by_solution,functions_requested_by_task_prompt,uses_internal_helper,uses_hidden_in_script_data,result_assignment_count,overwrites_result,fixture_semantic_flags,task_dir
pharmaverse/aNCA/add_qmd_table,aNCA,add_qmd_table,L1,D_QUARANTINE_CONTRACT,evaluator_compares_artifact_not_in_task_json; helper_assertion_doc_or_internal_only_candidate,FAIL,output_bad,NO_OUTPUT,exec_fail,outputs/result.csv,outputs/result.csv; outputs/result.rds; outputs/summary.csv,outputs/result.csv; outputs/summary.csv,,inputs/table_expr.tsv,inputs/table_expr.tsv,inputs/table_expr.tsv,,aNCA::add_qmd_table,False,False,2,False,,/mnt/workspace-storage/lab_workspace/projects/RBioBench/tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/aNCA/add_qmd_table
pharmaverse/aNCA/adjust_class_and_length,aNCA,adjust_class_and_length,L2,D_QUARANTINE_CONTRACT,clinical_placeholders; current_and_simple_timeout; derivation_placeholders; result_overwrite_or_echo_suspected; rlang_expr_placeholders; unit_mismatch_placeholders,TIMEOUT,exec_fail,TIMEOUT,exec_fail,outputs/result.csv,outputs/result.csv; outputs/result.rds; outputs/summary.csv,,,inputs/adjust_length.tsv; inputs/df.tsv; inputs/metadata.tsv,inputs/adjust_length.tsv; inputs/df.tsv; inputs/metadata.tsv,inputs/adjust_length.tsv; inputs/df.tsv; inputs/metadata.tsv,,aNCA::adjust_class_and_length,False,False,2,True,clinical_placeholders; derivation_placeholders; rlang_expr_placeholders; unit_mismatch_placeholders,/mnt/workspace-storage/lab_workspace/projects/RBioBench/tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/aNCA/adjust_class_and_length
pharmaverse/aNCA/apply_filters,aNCA,apply_filters,L2,D_QUARANTINE_CONTRACT,clinical_placeholders; result_overwrite_or_echo_suspected; unit_mismatch_placeholders,NO_OUTPUT,exec_fail,NO_OUTPUT,exec_fail,outputs/result.csv,outputs/result.csv; outputs/result.rds; outputs/summary.csv,,,inputs/data.tsv; inputs/filters.tsv,inputs/data.tsv; inputs/filters.tsv,inputs/data.tsv; inputs/filters.tsv,dplyr::between; dplyr::filter,aNCA::apply_filters; dplyr::filter; rlang::sym,False,False,2,True,clinical_placeholders; unit_mismatch_placeholders,/mnt/workspace-storage/lab_workspace/projects/RBioBench/tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/aNCA/apply_filters
pharmaverse/aNCA/apply_labels,aNCA,apply_labels,L2,D_QUARANTINE_CONTRACT,clinical_placeholders; current_and_simple_timeout; result_overwrite_or_echo_suspected; scalarish_input_has_complex_placeholder:labels_df.tsv; unit_mismatch_placeholders,TIMEOUT,exec_fail,TIMEOUT,exec_fail,outputs/result.csv; outputs/result.rds; outputs/summary.csv,outputs/result.csv; outputs/result.rds; outputs/summary.csv,,,inputs/data.tsv; inputs/labels_df.tsv; inputs/type.tsv,inputs/data.tsv; inputs/labels_df.tsv; inputs/type.tsv,inputs/data.tsv; inputs/labels_df.tsv; inputs/type.tsv,formatters::var_labels,aNCA::apply_labels; formatters::var_labels,False,False,2,True,clinical_placeholders; scalarish_input_has_complex_placeholder:labels_df.tsv; unit_mismatch_placeholders,/mnt/workspace-storage/lab_workspace/projects/RBioBench/tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/aNCA/apply_labels
pharmaverse/aNCA/apply_mapping,aNCA,apply_mapping,L2,D_QUARANTINE_CONTRACT,clinical_placeholders; evaluator_compares_artifact_not_in_task_json; unit_mismatch_placeholders,FAIL,output_bad,FAIL,output_bad,outputs/result.csv,outputs/result.csv; outputs/result.rds; outputs/summary.csv,outputs/result.csv; outputs/summary.csv,outputs/result.csv; outputs/summary.csv,inputs/dataset.tsv; inputs/desired_order.tsv; inputs/mapping.tsv; inputs/req_mappings.tsv; inputs/silent.tsv,inputs/dataset.tsv; inputs/desired_order.tsv; inputs/mapping.tsv; inputs/req_mappings.tsv; inputs/silent.tsv,inputs/dataset.tsv; inputs/desired_order.tsv; inputs/mapping.tsv; inputs/req_mappings.tsv; inputs/silent.tsv,aNCA::apply_mapping,aNCA::apply_mapping,False,False,2,False,clinical_placeholders; unit_mismatch_placeholders,/mnt/workspace-storage/lab_workspace/projects/RBioBench/tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/aNCA/apply_mapping
pharmaverse/aNCA/assert_subset,aNCA,assert_subset,L1,D_QUARANTINE_CONTRACT,clinical_placeholders; derivation_placeholders; evaluator_compares_artifact_not_in_task_json; helper_assertion_doc_or_internal_only_candidate; result_overwrite_or_echo_suspected; unit_mismatch_placeholders,FAIL,output_bad,FAIL,output_bad,outputs/result.csv,outputs/result.csv; outputs/result.rds; outputs/summary.csv,outputs/result.csv; outputs/summary.csv,outputs/result.csv; outputs/summary.csv,inputs/a.tsv; inputs/b.tsv,inputs/a.tsv; inputs/b.tsv,inputs/a.tsv; inputs/b.tsv,,aNCA::assert_subset,False,False,2,True,clinical_placeholders; derivation_placeholders; unit_mismatch_placeholders,/mnt/workspace-storage/lab_workspace/projects/RBioBench/tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/aNCA/assert_subset
pharmaverse/aNCA/calculate_f,aNCA,calculate_f,L1,D_QUARANTINE_CONTRACT,clinical_placeholders; evaluator_compares_artifact_not_in_task_json,NO_OUTPUT,exec_fail,FAIL,output_bad,outputs/result.csv,outputs/result.csv; outputs/result.rds; outputs/summary.csv,,outputs/result.csv; outputs/summary.csv,inputs/f_aucs.tsv; inputs/res_nca.tsv,inputs/f_aucs.tsv; inputs/res_nca.tsv,inputs/f_aucs.tsv; inputs/res_nca.tsv,PKNCA::getGroups,aNCA::calculate_f,False,False,3,False,clinical_placeholders,/mnt/workspace-storage/lab_workspace/projects/RBioBench/tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/aNCA/calculate_f
pharmaverse/aNCA/check_app_dependencies,aNCA,check_app_dependencies,L2,D_QUARANTINE_CONTRACT,clinical_placeholders; evaluator_compares_artifact_not_in_task_json; helper_assertion_doc_or_internal_only_candidate; hidden_in_script_data_suspected; result_overwrite_or_echo_suspected; scalarish_input_has_complex_placeholder:format.tsv; scalarish_input_has_complex_placeholder:library.tsv,FAIL,output_bad,FAIL,output_bad,outputs/result.csv,outputs/result.csv; outputs/result.rds; outputs/summary.csv,outputs/result.csv; outputs/summary.csv,outputs/result.csv; outputs/summary.csv,inputs/format.tsv; inputs/library.tsv,,inputs/format.tsv; inputs/library.tsv,,aNCA::check_app_dependencies,False,True,2,True,clinical_placeholders; scalarish_input_has_complex_placeholder:format.tsv; scalarish_input_has_complex_placeholder:library.tsv,/mnt/workspace-storage/lab_workspace/projects/RBioBench/tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/aNCA/check_app_dependencies
pharmaverse/aNCA/check_valid_pknca_data,aNCA,check_valid_pknca_data,L1,D_QUARANTINE_CONTRACT,clinical_placeholders; evaluator_compares_artifact_not_in_task_json; helper_assertion_doc_or_internal_only_candidate; result_overwrite_or_echo_suspected; task_json_expected_artifact_not_compared_in_results; unit_mismatch_placeholders,FAIL,output_bad,NO_OUTPUT,exec_fail,outputs/result.csv; outputs/result.rds,outputs/result.csv; outputs/result.rds; outputs/summary.csv,outputs/result.csv; outputs/summary.csv,,inputs/check_exclusion_has_reason.tsv; inputs/processed_pknca_data.tsv,inputs/check_exclusion_has_reason.tsv; inputs/processed_pknca_data.tsv,inputs/check_exclusion_has_reason.tsv; inputs/processed_pknca_data.tsv,,aNCA::check_valid_pknca_data,False,False,2,True,clinical_placeholders; unit_mismatch_placeholders,/mnt/workspace-storage/lab_workspace/projects/RBioBench/tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/aNCA/check_valid_pknca_data
pharmaverse/aNCA/clean_deparse,aNCA,clean_deparse,L2,D_QUARANTINE_CONTRACT,clinical_placeholders; evaluator_compares_artifact_not_in_task_json; unit_mismatch_placeholders; uses_internal_helper_or_namespace_access,FAIL,output_bad,FAIL,output_bad,outputs/result.csv,outputs/result.csv; outputs/result.rds; outputs/summary.csv,outputs/result.csv; outputs/summary.csv,outputs/result.csv; outputs/summary.csv,inputs/indent.tsv; inputs/max_per_line.tsv; inputs/min_to_rep.tsv; inputs/obj.tsv,inputs/indent.tsv; inputs/max_per_line.tsv; inputs/min_to_rep.tsv; inputs/obj.tsv,inputs/indent.tsv; inputs/max_per_line.tsv; inputs/min_to_rep.tsv; inputs/obj.tsv,,aNCA::clean_deparse,True,False,3,False,clinical_placeholders; unit_mismatch_placeholders,/mnt/workspace-storage/lab_workspace/projects/RBioBench/tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/aNCA/clean_deparse
pharmaverse/aNCA/convert_to_iso8601_duration,aNCA,convert_to_iso8601_duration,L2,D_QUARANTINE_CONTRACT,clinical_placeholders; derivation_placeholders; evaluator_compares_artifact_not_in_task_json; result_overwrite_or_echo_suspected; rlang_expr_placeholders; scalarish_input_has_complex_placeholder:value.tsv,FAIL,output_bad,FAIL,output_bad,outputs/result.csv,outputs/result.csv; outputs/result.rds; outputs/summary.csv,outputs/result.csv; outputs/summary.csv,outputs/result.csv; outputs/summary.csv,inputs/unit.tsv; inputs/value.tsv,inputs/unit.tsv; inputs/value.tsv,inputs/unit.tsv; inputs/value.tsv,units::deparse_unit; units::set_units,aNCA::convert_to_iso8601_duration,False,False,5,True,clinical_placeholders; derivation_placeholders; rlang_expr_placeholders; scalarish_input_has_complex_placeholder:value.tsv,/mnt/workspace-storage/lab_workspace/projects/RBioBench/tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/aNCA/convert_to_iso8601_duration
pharmaverse/aNCA/convert_volume_units,aNCA,convert_volume_units,L2,C_REPAIR_FIXTURE,clinical_placeholders; derivation_placeholders; rlang_expr_placeholders; scalarish_input_has_complex_placeholder:avalu.tsv,FAIL,output_bad,NO_OUTPUT,exec_fail,outputs/result.csv; outputs/summary.csv,outputs/result.csv; outputs/result.rds; outputs/summary.csv,outputs/result.csv; outputs/summary.csv,,inputs/avalu.tsv; inputs/df.tsv; inputs/volume.tsv; inputs/volumeu.tsv,inputs/avalu.tsv; inputs/df.tsv; inputs/volume.tsv; inputs/volumeu.tsv,inputs/avalu.tsv; inputs/df.tsv; inputs/volume.tsv; inputs/volumeu.tsv,,aNCA::convert_volume_units,False,False,2,False,clinical_placeholders; derivation_placeholders; rlang_expr_placeholders; scalarish_input_has_complex_placeholder:avalu.tsv,/mnt/workspace-storage/lab_workspace/projects/RBioBench/tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/aNCA/convert_volume_units
pharmaverse/aNCA/create_html_dose_slides,aNCA,create_html_dose_slides,L2,D_QUARANTINE_CONTRACT,clinical_placeholders; evaluator_compares_artifact_not_in_task_json; helper_assertion_doc_or_internal_only_candidate; result_overwrite_or_echo_suspected; uses_internal_helper_or_namespace_access,FAIL,output_bad,FAIL,output_bad,outputs/result.csv,outputs/result.csv; outputs/result.rds; outputs/summary.csv,outputs/result.csv; outputs/summary.csv,outputs/result.csv; outputs/summary.csv,inputs/path.tsv; inputs/res_dose_slides.tsv; inputs/title.tsv,inputs/path.tsv; inputs/res_dose_slides.tsv; inputs/title.tsv,inputs/path.tsv; inputs/res_dose_slides.tsv; inputs/title.tsv,quarto::quarto_render; tools::file_ext,aNCA::create_html_dose_slides,True,False,2,True,clinical_placeholders,/mnt/workspace-storage/lab_workspace/projects/RBioBench/tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/aNCA/create_html_dose_slides
pharmaverse/aNCA/create_metabfl,aNCA,create_metabfl,L1,D_QUARANTINE_CONTRACT,clinical_placeholders; evaluator_compares_artifact_not_in_task_json; unit_mismatch_placeholders,FAIL,output_bad,FAIL,output_bad,outputs/result.csv,outputs/result.csv; outputs/result.rds; outputs/summary.csv,outputs/result.csv; outputs/summary.csv,outputs/result.csv; outputs/summary.csv,inputs/dataset.tsv; inputs/metabolites.tsv,inputs/dataset.tsv; inputs/metabolites.tsv,inputs/dataset.tsv; inputs/metabolites.tsv,,aNCA::create_metabfl; dplyr::mutate,False,False,2,False,clinical_placeholders; unit_mismatch_placeholders,/mnt/workspace-storage/lab_workspace/projects/RBioBench/tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/aNCA/create_metabfl
pharmaverse/aNCA/create_pptx_doc,aNCA,create_pptx_doc,L2,D_QUARANTINE_CONTRACT,clinical_placeholders; evaluator_compares_artifact_not_in_task_json; helper_assertion_doc_or_internal_only_candidate; result_overwrite_or_echo_suspected; task_json_expected_artifact_not_compared_in_results; uses_internal_helper_or_namespace_access,FAIL,output_bad,FAIL,output_bad,outputs/result.csv; outputs/result.rds,outputs/result.csv; outputs/result.rds; outputs/summary.csv,outputs/result.csv; outputs/summary.csv,outputs/result.csv; outputs/summary.csv,inputs/path.tsv; inputs/template.tsv; inputs/title.tsv,inputs/path.tsv; inputs/template.tsv; inputs/title.tsv,inputs/path.tsv; inputs/template.tsv; inputs/title.tsv,,aNCA::create_pptx_doc,True,False,2,True,clinical_placeholders,/mnt/workspace-storage/lab_workspace/projects/RBioBench/tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/aNCA/create_pptx_doc
pharmaverse/aNCA/create_qmd_doc,aNCA,create_qmd_doc,L3,D_QUARANTINE_CONTRACT,clinical_placeholders; evaluator_compares_artifact_not_in_task_json; helper_assertion_doc_or_internal_only_candidate; unit_mismatch_placeholders; uses_internal_helper_or_namespace_access,FAIL,output_bad,FAIL,output_bad,outputs/result.csv,outputs/result.csv; outputs/result.rds; outputs/summary.csv,outputs/result.csv; outputs/summary.csv,outputs/result.csv; outputs/summary.csv,inputs/extra_setup.tsv; inputs/libraries.tsv; inputs/quarto_path.tsv; inputs/rda_path.tsv; inputs/template.tsv; inputs/title.tsv,inputs/extra_setup.tsv; inputs/libraries.tsv; inputs/quarto_path.tsv; inputs/rda_path.tsv; inputs/template.tsv; inputs/title.tsv,inputs/extra_setup.tsv; inputs/libraries.tsv; inputs/quarto_path.tsv; inputs/rda_path.tsv; inputs/template.tsv; inputs/title.tsv,,aNCA::create_qmd_doc,True,False,2,False,clinical_placeholders; unit_mismatch_placeholders,/mnt/workspace-storage/lab_workspace/projects/RBioBench/tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/aNCA/create_qmd_doc
pharmaverse/aNCA/create_qmd_dose_slides,aNCA,create_qmd_dose_slides,L2,D_QUARANTINE_CONTRACT,clinical_placeholders; evaluator_compares_artifact_not_in_task_json; helper_assertion_doc_or_internal_only_candidate; result_overwrite_or_echo_suspected; uses_internal_helper_or_namespace_access,NO_OUTPUT,exec_fail,FAIL,output_bad,outputs/result.csv,outputs/result.csv; outputs/result.rds; outputs/summary.csv,,outputs/result.csv; outputs/summary.csv,inputs/quarto_path.tsv; inputs/res_dose_slides.tsv; inputs/title.tsv; inputs/use_plotly.tsv,inputs/quarto_path.tsv; inputs/res_dose_slides.tsv; inputs/title.tsv; inputs/use_plotly.tsv,inputs/quarto_path.tsv; inputs/res_dose_slides.tsv; inputs/title.tsv; inputs/use_plotly.tsv,,aNCA::create_qmd_dose_slides,True,False,2,True,clinical_placeholders,/mnt/workspace-storage/lab_workspace/projects/RBioBench/tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/aNCA/create_qmd_dose_slides
pharmaverse/aNCA/create_start_impute,aNCA,create_start_impute,L2,D_QUARANTINE_CONTRACT,clinical_placeholders; evaluator_compares_artifact_not_in_task_json; task_json_expected_artifact_not_compared_in_results; unit_mismatch_placeholders; uses_internal_helper_or_namespace_access,FAIL,output_bad,FAIL,output_bad,outputs/result.csv; outputs/result.rds,outputs/result.csv; outputs/result.rds; outputs/summary.csv,outputs/result.csv; outputs/summary.csv,outputs/result.csv; outputs/summary.csv,inputs/pknca_data.tsv,inputs/pknca_data.tsv,inputs/pknca_data.tsv,,aNCA::create_start_impute,True,False,1,False,clinical_placeholders; unit_mismatch_placeholders,/mnt/workspace-storage/lab_workspace/projects/RBioBench/tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/aNCA/create_start_impute
pharmaverse/aNCA/derive_last_dose_time,aNCA,derive_last_dose_time,L1,D_QUARANTINE_CONTRACT,clinical_placeholders; evaluator_compares_artifact_not_in_task_json; result_overwrite_or_echo_suspected; unit_mismatch_placeholders,FAIL,output_bad,FAIL,output_bad,outputs/result.csv,outputs/result.csv; outputs/result.rds; outputs/summary.csv,outputs/result.csv; outputs/summary.csv,outputs/result.csv; outputs/summary.csv,inputs/conc_time_col.tsv; inputs/pknca_data.tsv,inputs/conc_time_col.tsv; inputs/pknca_data.tsv,inputs/conc_time_col.tsv; inputs/pknca_data.tsv,dplyr::arrange; dplyr::filter; dplyr::group_by; dplyr::group_vars; dplyr::left_join; dplyr::mutate; dplyr::select; dplyr::slice_tail; dplyr::ungroup; rlang::sym; rlang::syms,aNCA::derive_last_dose_time,False,False,2,True,clinical_placeholders; unit_mismatch_placeholders,/mnt/workspace-storage/lab_workspace/projects/RBioBench/tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/aNCA/derive_last_dose_time
