idx,task_id,task_dir,package,function_name,expected_artifacts,current_status,current_tier,current_message,current_comparison,simple_status,simple_tier,simple_message,simple_comparison
22,pharmaverse/admiraldev/get_source_vars,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/admiraldev/get_source_vars,admiraldev,get_source_vars,"outputs/result.csv, outputs/result.rds",FAIL,output_bad,,result.csv: match=False reason=File not generated | summary.csv: match=False reason=File not generated,FAIL,output_bad,,"result.csv: match=False reason=Shape mismatch: ref=(0, 1) vs llm=(4, 2) | summary.csv: match=False reason=File not generated"
23,pharmaverse/admiraldev/squote,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/admiraldev/squote,admiraldev,squote,outputs/result.csv,FAIL,output_bad,,result.csv: match=False reason=File not generated | summary.csv: match=False reason=File not generated,NO_OUTPUT,exec_fail,No output files created,
24,pharmaverse/aNCA/translate_terms,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/aNCA/translate_terms,aNCA,translate_terms,outputs/result.csv,FAIL,output_bad,,"result.csv: match=False reason=Shape mismatch: ref=(0, 1) vs llm=(1, 1) | summary.csv: match=False reason=File not generated",FAIL,output_bad,,"result.csv: match=False reason=Shape mismatch: ref=(0, 1) vs llm=(3, 5) | summary.csv: match=False reason=File not generated"
25,pharmaverse/admiral/restrict_imputed_dtc_dtm,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/admiral/restrict_imputed_dtc_dtm,admiral,restrict_imputed_dtc_dtm,outputs/result.csv,NO_OUTPUT,exec_fail,No output files created,,FAIL,output_bad,,"result.csv: match=False reason=Shape mismatch: ref=(1, 2) vs llm=(3, 2) | summary.csv: match=False reason=File not generated"
26,pharmaverse/admiral/get_imputation_target_date,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/admiral/get_imputation_target_date,admiral,get_imputation_target_date,"outputs/result.csv, outputs/result.rds",NO_OUTPUT,exec_fail,No output files created,,NO_OUTPUT,exec_fail,No output files created,
27,pharmaverse/admiraldiscovery/admiral_pkg_versions,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/admiraldiscovery/admiral_pkg_versions,admiraldiscovery,admiral_pkg_versions,"outputs/result.csv, outputs/summary.csv",FAIL,output_bad,,result.csv: match=False reason=File not generated | summary.csv: match=False reason=File not generated,FAIL,output_bad,,"result.csv: match=False reason=Shape mismatch: ref=(1, 2) vs llm=(3, 5) | summary.csv: match=False reason=File not generated"
28,pharmaverse/sdtm.oak/problems,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/sdtm.oak/problems,sdtm.oak,problems,"outputs/result.csv, outputs/summary.csv",NO_OUTPUT,exec_fail,No output files created,,FAIL,output_bad,,"result.csv: match=False reason=Shape mismatch: ref=(0, 1) vs llm=(54, 13) | summary.csv: match=False reason=File not generated"
29,pharmaverse/aNCA/add_qmd_sl_plot,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/aNCA/add_qmd_sl_plot,aNCA,add_qmd_sl_plot,outputs/result.csv,TIMEOUT,exec_fail,Timeout after 120s,,FAIL,output_bad,,"result.csv: match=False reason=Shape mismatch: ref=(1, 2) vs llm=(3, 5) | summary.csv: match=False reason=File not generated"
30,pharmaverse/admiral/convert_predose_patterns,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/admiral/convert_predose_patterns,admiral,convert_predose_patterns,outputs/result.csv,TIMEOUT,exec_fail,Timeout after 120s,,TIMEOUT,exec_fail,Timeout after 120s,
31,pharmaverse/aNCA/g_pkcg01_log,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/aNCA/g_pkcg01_log,aNCA,g_pkcg01_log,"outputs/result.csv, outputs/result.rds",FAIL,output_bad,,"result.csv: match=False reason=Shape mismatch: ref=(1, 2) vs llm=(1, 3) | summary.csv: match=False reason=File not generated | result.rds: match=False reason=Unexpected: ",FAIL,output_bad,,"result.csv: match=False reason=Shape mismatch: ref=(1, 2) vs llm=(9, 11) | summary.csv: match=False reason=File not generated | result.rds: match=False reason=Unexpected: "
32,pharmaverse/admiral/derive_param_rr,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/admiral/derive_param_rr,admiral,derive_param_rr,outputs/result.csv,TIMEOUT,exec_fail,Timeout after 120s,,TIMEOUT,exec_fail,Timeout after 120s,
33,pharmaverse/admiral/slice_derivation,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/admiral/slice_derivation,admiral,slice_derivation,outputs/result.csv,NO_OUTPUT,exec_fail,No output files created,,FAIL,output_bad,,"result.csv: match=False reason=Shape mismatch: ref=(5, 4) vs llm=(18, 3) | summary.csv: match=False reason=File not generated"
34,pharmaverse/gridify/gpar_args,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/gridify/gpar_args,gridify,gpar_args,"outputs/result.csv, outputs/result.rds",NO_OUTPUT,exec_fail,No output files created,,FAIL,output_bad,,"result.csv: match=False reason=Column mismatch: missing={'value'}, extra={'gpar'} | summary.csv: match=False reason=File not generated | result.rds: match=False reason=File not generated"
35,pharmaverse/ggsurvfit/scale_ggsurvfit,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/ggsurvfit/scale_ggsurvfit,ggsurvfit,scale_ggsurvfit,outputs/result.csv,FAIL,output_bad,,result.csv: match=False reason=File not generated,FAIL,output_bad,,"result.csv: match=False reason=Shape mismatch: ref=(1, 1) vs llm=(2, 2)"
36,pharmaverse/aNCA/get_halflife_plots_single,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/aNCA/get_halflife_plots_single,aNCA,get_halflife_plots_single,"outputs/result.csv, outputs/result.rds",FAIL,output_bad,,"result.csv: match=False reason=Shape mismatch: ref=(0, 1) vs llm=(54, 17) | summary.csv: match=False reason=File not generated",FAIL,output_bad,,"result.csv: match=False reason=Shape mismatch: ref=(0, 1) vs llm=(3, 11) | summary.csv: match=False reason=File not generated"
37,pharmaverse/logrx/parse_log,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/logrx/parse_log,logrx,parse_log,"outputs/result.csv, outputs/result.rds",NO_OUTPUT,exec_fail,No output files created,,FAIL,output_bad,,"result.csv: match=False reason=Shape mismatch: ref=(5, 2) vs llm=(4, 10) | summary.csv: match=False reason=File not generated"
38,pharmaverse/aNCA/g_pkcg02_lin,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/aNCA/g_pkcg02_lin,aNCA,g_pkcg02_lin,"outputs/result.csv, outputs/result.rds",FAIL,output_bad,,"result.csv: match=False reason=Shape mismatch: ref=(1, 2) vs llm=(1, 3) | summary.csv: match=False reason=File not generated | result.rds: match=False reason=Unexpected: ",FAIL,output_bad,,"result.csv: match=False reason=Shape mismatch: ref=(1, 2) vs llm=(3, 10) | summary.csv: match=False reason=File not generated | result.rds: match=False reason=Unexpected: "
39,pharmaverse/admiral/get_imputation_targets,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/admiral/get_imputation_targets,admiral,get_imputation_targets,"outputs/result.csv, outputs/result.rds",NO_OUTPUT,exec_fail,No output files created,,FAIL,output_bad,,"result.csv: match=False reason=Shape mismatch: ref=(1, 6) vs llm=(5, 4)"
40,pharmaverse/aNCA/create_pptx_doc,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/aNCA/create_pptx_doc,aNCA,create_pptx_doc,"outputs/result.csv, outputs/result.rds",FAIL,output_bad,,"result.csv: match=False reason=Shape mismatch: ref=(1, 2) vs llm=(1, 3) | summary.csv: match=False reason=File not generated",FAIL,output_bad,,"result.csv: match=False reason=Shape mismatch: ref=(1, 2) vs llm=(3, 8) | summary.csv: match=False reason=File not generated"
41,pharmaverse/admiral/derive_var_trtdurd,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/admiral/derive_var_trtdurd,admiral,derive_var_trtdurd,outputs/result.csv,TIMEOUT,exec_fail,Timeout after 120s,,TIMEOUT,exec_fail,Timeout after 120s,
42,pharmaverse/admiral/assert_valid_queries,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/admiral/assert_valid_queries,admiral,assert_valid_queries,outputs/result.csv,TIMEOUT,exec_fail,Timeout after 120s,,NO_OUTPUT,exec_fail,No output files created,
43,pharmaverse/admiraldev/assert_same_type,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/admiraldev/assert_same_type,admiraldev,assert_same_type,"outputs/result.csv, outputs/summary.csv",FAIL,output_bad,,result.csv: match=False reason=File not generated | summary.csv: match=False reason=File not generated,FAIL,output_bad,,"result.csv: match=False reason=Shape mismatch: ref=(0, 1) vs llm=(1, 2) | summary.csv: match=False reason=File not generated"
44,pharmaverse/admiraldev/assert_expr,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/admiraldev/assert_expr,admiraldev,assert_expr,outputs/result.csv,NO_OUTPUT,exec_fail,No output files created,,FAIL,output_bad,,"result.csv: match=False reason=Shape mismatch: ref=(1, 2) vs llm=(1, 4) | summary.csv: match=False reason=File not generated"
45,pharmaverse/admiraldev/assert_unit,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/admiraldev/assert_unit,admiraldev,assert_unit,outputs/result.csv,FAIL,output_bad,,result.csv: match=False reason=File not generated | summary.csv: match=False reason=File not generated,NO_OUTPUT,exec_fail,No output files created,
46,pharmaverse/aNCA/calculate_f,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/aNCA/calculate_f,aNCA,calculate_f,outputs/result.csv,NO_OUTPUT,exec_fail,No output files created,,FAIL,output_bad,,result.csv: match=False reason=Comparison error: No columns to parse from file | summary.csv: match=False reason=File not generated
47,pharmaverse/admiral/derive_vars_atc,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/admiral/derive_vars_atc,admiral,derive_vars_atc,outputs/result.csv,TIMEOUT,exec_fail,Timeout after 120s,,TIMEOUT,exec_fail,Timeout after 120s,
48,pharmaverse/admiral/dthcaus_source,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/admiral/dthcaus_source,admiral,dthcaus_source,"outputs/result.csv, outputs/result.rds",TIMEOUT,exec_fail,Timeout after 120s,,TIMEOUT,exec_fail,Timeout after 120s,
49,pharmaverse/aNCA/create_qmd_doc,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/aNCA/create_qmd_doc,aNCA,create_qmd_doc,outputs/result.csv,FAIL,output_bad,,"result.csv: match=False reason=Shape mismatch: ref=(5, 3) vs llm=(5, 8) | summary.csv: match=False reason=File not generated",FAIL,output_bad,,"result.csv: match=False reason=Shape mismatch: ref=(5, 3) vs llm=(1, 5) | summary.csv: match=False reason=File not generated"
50,pharmaverse/tidytlg/add_indent,tasks/releases/rbiobench_stable_v1/tracks/clinical_pilot/tasks/tidytlg/add_indent,tidytlg,add_indent,outputs/result.csv,FAIL,output_bad,,result.csv: match=False reason=File not generated | summary.csv: match=False reason=File not generated,FAIL,output_bad,,"result.csv: match=False reason=Shape mismatch: ref=(5, 3) vs llm=(1, 2) | summary.csv: match=False reason=File not generated"
